frame,build_id,state,judge,n_reps_parsed,ease_of_use,clarity,visual_hierarchy,memorable,trust,intuitive,aesthetic_pleasure,interest,comfort
groq_openai_gpt-oss-120b_rep1__6_stopped.png,groq_openai_gpt-oss-120b_rep1,6_stopped,qwen3.6-27b,1,2,3,3,6,2,2,2,5,2
groq_openai_gpt-oss-120b_rep2__1_boot_idle.png,groq_openai_gpt-oss-120b_rep2,1_boot_idle,claude-sonnet-5,3,6,7,6,4,4,6,4,3,5
groq_openai_gpt-oss-120b_rep2__1_boot_idle.png,groq_openai_gpt-oss-120b_rep2,1_boot_idle,gpt-4.1,3,7,7,6,5,6,7,5,3,7
groq_openai_gpt-oss-120b_rep2__1_boot_idle.png,groq_openai_gpt-oss-120b_rep2,1_boot_idle,qwen3.6-27b,2,3.0,4.5,3.0,3.0,4.0,4.0,3.0,2.0,4.0
groq_openai_gpt-oss-120b_rep2__2_started.png,groq_openai_gpt-oss-120b_rep2,2_started,claude-sonnet-5,3,6,7,6,4,4,6,4,3,5
groq_openai_gpt-oss-120b_rep2__2_started.png,groq_openai_gpt-oss-120b_rep2,2_started,gpt-4.1,3,7,7,6,5,6,7,4,3,7
groq_openai_gpt-oss-120b_rep2__2_started.png,groq_openai_gpt-oss-120b_rep2,2_started,qwen3.6-27b,1,5.5,7.0,6.0,3.5,6.0,6.5,3,2.0,5.0
groq_openai_gpt-oss-120b_rep2__3_mid_meeting.png,groq_openai_gpt-oss-120b_rep2,3_mid_meeting,claude-sonnet-5,3,6,7,6,5,4,6,4,3,5
groq_openai_gpt-oss-120b_rep2__3_mid_meeting.png,groq_openai_gpt-oss-120b_rep2,3_mid_meeting,gpt-4.1,3,7,7,6,6,6,7,4,3,6
groq_openai_gpt-oss-120b_rep2__3_mid_meeting.png,groq_openai_gpt-oss-120b_rep2,3_mid_meeting,qwen3.6-27b,0,,,,,,,,,
groq_openai_gpt-oss-120b_rep2__4_threshold.png,groq_openai_gpt-oss-120b_rep2,4_threshold,claude-sonnet-5,3,6,7,6,4,4,6,4,3,5
groq_openai_gpt-oss-120b_rep2__4_threshold.png,groq_openai_gpt-oss-120b_rep2,4_threshold,gpt-4.1,3,7,7,6,5,6,7,4,3,6
groq_openai_gpt-oss-120b_rep2__4_threshold.png,groq_openai_gpt-oss-120b_rep2,4_threshold,qwen3.6-27b,0,,,,,,,,,
groq_openai_gpt-oss-120b_rep2__5_extended.png,groq_openai_gpt-oss-120b_rep2,5_extended,claude-sonnet-5,3,6,7,6,5,4,6,4,4,5
groq_openai_gpt-oss-120b_rep2__5_extended.png,groq_openai_gpt-oss-120b_rep2,5_extended,gpt-4.1,3,7,7,6,5,6,7,4,2,6
groq_openai_gpt-oss-120b_rep2__5_extended.png,groq_openai_gpt-oss-120b_rep2,5_extended,qwen3.6-27b,1,6,7,6,3,4,6,3,2,5
groq_openai_gpt-oss-120b_rep2__6_stopped.png,groq_openai_gpt-oss-120b_rep2,6_stopped,claude-sonnet-5,3,6,7,6,5,4,6,4,3,5
groq_openai_gpt-oss-120b_rep2__6_stopped.png,groq_openai_gpt-oss-120b_rep2,6_stopped,gpt-4.1,3,7,7,6,5,6,7,4,3,6
groq_openai_gpt-oss-120b_rep2__6_stopped.png,groq_openai_gpt-oss-120b_rep2,6_stopped,qwen3.6-27b,1,6,7,6,5,5,7,3,4,5
openai_gpt-4.1_rep1__1_boot_idle.png,openai_gpt-4.1_rep1,1_boot_idle,claude-sonnet-5,3,6,7,6,5,4,6,4,3,5
openai_gpt-4.1_rep1__1_boot_idle.png,openai_gpt-4.1_rep1,1_boot_idle,gpt-4.1,3,6,7,6,5,5,6,4,3,6
openai_gpt-4.1_rep1__1_boot_idle.png,openai_gpt-4.1_rep1,1_boot_idle,qwen3.6-27b,1,7,7,7,3,4,7,3,2,6
openai_gpt-4.1_rep1__2_started.png,openai_gpt-4.1_rep1,2_started,claude-sonnet-5,3,4,7,2,3,4,3,4,2,4
openai_gpt-4.1_rep1__2_started.png,openai_gpt-4.1_rep1,2_started,gpt-4.1,3,2,6,2,3,3,2,4,2,3
openai_gpt-4.1_rep1__2_started.png,openai_gpt-4.1_rep1,2_started,qwen3.6-27b,1,7,7,6,3,4,3,3,2,6
openai_gpt-4.1_rep1__3_mid_meeting.png,openai_gpt-4.1_rep1,3_mid_meeting,claude-sonnet-5,3,6,7,5,4,5,6,4,3,5
openai_gpt-4.1_rep1__3_mid_meeting.png,openai_gpt-4.1_rep1,3_mid_meeting,gpt-4.1,3,6,7,5,4,5,6,5,3,6
openai_gpt-4.1_rep1__3_mid_meeting.png,openai_gpt-4.1_rep1,3_mid_meeting,qwen3.6-27b,2,6.5,7.0,5.0,3.5,4.5,6.5,3.0,2.5,5.0
openai_gpt-4.1_rep1__4_threshold.png,openai_gpt-4.1_rep1,4_threshold,claude-sonnet-5,3,6,7,6,5,4,6,5,3,5
openai_gpt-4.1_rep1__4_threshold.png,openai_gpt-4.1_rep1,4_threshold,gpt-4.1,3,5,6,6,5,5,5,5,3,5
openai_gpt-4.1_rep1__4_threshold.png,openai_gpt-4.1_rep1,4_threshold,qwen3.6-27b,1,5,6,6,3,5,5,4,2,5
openai_gpt-4.1_rep1__5_extended.png,openai_gpt-4.1_rep1,5_extended,claude-sonnet-5,3,4,6,3,3,4,4,4,3,4
openai_gpt-4.1_rep1__5_extended.png,openai_gpt-4.1_rep1,5_extended,gpt-4.1,3,2,6,3,2,4,3,5,2,3
openai_gpt-4.1_rep1__5_extended.png,openai_gpt-4.1_rep1,5_extended,qwen3.6-27b,1,3,7,6,4,3,3,5,3,5
openai_gpt-4.1_rep1__6_stopped.png,openai_gpt-4.1_rep1,6_stopped,claude-sonnet-5,3,6,7,6,4,5,6,5,3,5
openai_gpt-4.1_rep1__6_stopped.png,openai_gpt-4.1_rep1,6_stopped,gpt-4.1,3,5,7,6,4,6,5,5,3,6
openai_gpt-4.1_rep1__6_stopped.png,openai_gpt-4.1_rep1,6_stopped,qwen3.6-27b,1,6,7,6,3,5,6,4,2,4
openai_gpt-4o-mini_rep1__1_boot_idle.png,openai_gpt-4o-mini_rep1,1_boot_idle,claude-sonnet-5,3,4,6,3,4,3,3,4,5,4
openai_gpt-4o-mini_rep1__1_boot_idle.png,openai_gpt-4o-mini_rep1,1_boot_idle,gpt-4.1,3,5,6,4,5,5,4,4,3,4
openai_gpt-4o-mini_rep1__1_boot_idle.png,openai_gpt-4o-mini_rep1,1_boot_idle,qwen3.6-27b,0,,,,,,,,,
openai_gpt-4o-mini_rep1__2_started.png,openai_gpt-4o-mini_rep1,2_started,claude-sonnet-5,3,6,7,5,4,4,6,4,3,5
openai_gpt-4o-mini_rep1__2_started.png,openai_gpt-4o-mini_rep1,2_started,gpt-4.1,3,6,7,6,5,6,6,4,4,6
openai_gpt-4o-mini_rep1__2_started.png,openai_gpt-4o-mini_rep1,2_started,qwen3.6-27b,2,6.0,7.0,5.5,3.0,5.0,7.0,3.5,2.0,6.0
openai_gpt-4o-mini_rep1__3_mid_meeting.png,openai_gpt-4o-mini_rep1,3_mid_meeting,claude-sonnet-5,3,6,6,5,4,4,6,4,3,5
openai_gpt-4o-mini_rep1__3_mid_meeting.png,openai_gpt-4o-mini_rep1,3_mid_meeting,gpt-4.1,3,7,7,6,5,6,7,4,3,6
openai_gpt-4o-mini_rep1__3_mid_meeting.png,openai_gpt-4o-mini_rep1,3_mid_meeting,qwen3.6-27b,0,,,,,,,,,
openai_gpt-4o-mini_rep1__4_threshold.png,openai_gpt-4o-mini_rep1,4_threshold,claude-sonnet-5,3,5,4,4,4,4,5,3,3,4
openai_gpt-4o-mini_rep1__4_threshold.png,openai_gpt-4o-mini_rep1,4_threshold,gpt-4.1,3,5,4,5,4,5,5,3,4,4
openai_gpt-4o-mini_rep1__4_threshold.png,openai_gpt-4o-mini_rep1,4_threshold,qwen3.6-27b,2,5.5,6.0,5.5,2.5,5.0,6.5,2.5,2.0,5.0
openai_gpt-4o-mini_rep1__5_extended.png,openai_gpt-4o-mini_rep1,5_extended,claude-sonnet-5,3,5,4,3,4,3,4,3,3,3
openai_gpt-4o-mini_rep1__5_extended.png,openai_gpt-4o-mini_rep1,5_extended,gpt-4.1,3,4,3,5,4,5,4,3,3,3
openai_gpt-4o-mini_rep1__5_extended.png,openai_gpt-4o-mini_rep1,5_extended,qwen3.6-27b,1,6,6,6,3,3,7,4,3,5
openai_gpt-4o-mini_rep1__6_stopped.png,openai_gpt-4o-mini_rep1,6_stopped,claude-sonnet-5,3,4,5,3,4,4,3,4,3,4
openai_gpt-4o-mini_rep1__6_stopped.png,openai_gpt-4o-mini_rep1,6_stopped,gpt-4.1,3,5,6,5,4,5,4,3,3,5
openai_gpt-4o-mini_rep1__6_stopped.png,openai_gpt-4o-mini_rep1,6_stopped,qwen3.6-27b,3,5,6,3,4,4,5,3,3,4
openai_gpt-4o-mini_rep2__1_boot_idle.png,openai_gpt-4o-mini_rep2,1_boot_idle,claude-sonnet-5,3,1,4,1,1,2,1,2,1,2
openai_gpt-4o-mini_rep2__1_boot_idle.png,openai_gpt-4o-mini_rep2,1_boot_idle,gpt-4.1,3,1,1,1,1,1,1,1,1,1
openai_gpt-4o-mini_rep2__1_boot_idle.png,openai_gpt-4o-mini_rep2,1_boot_idle,qwen3.6-27b,1,1,1,1,1,1,1,1,1,1
openai_gpt-4o-mini_rep2__2_started.png,openai_gpt-4o-mini_rep2,2_started,claude-sonnet-5,3,6,7,5,4,4,6,3,3,5
openai_gpt-4o-mini_rep2__2_started.png,openai_gpt-4o-mini_rep2,2_started,gpt-4.1,3,7,7,6,5,6,7,4,3,6
openai_gpt-4o-mini_rep2__2_started.png,openai_gpt-4o-mini_rep2,2_started,qwen3.6-27b,1,7,7,5,3,5,7,3,2,5
openai_gpt-4o-mini_rep2__3_mid_meeting.png,openai_gpt-4o-mini_rep2,3_mid_meeting,claude-sonnet-5,3,6,7,4,3,4,6,3,2,5
openai_gpt-4o-mini_rep2__3_mid_meeting.png,openai_gpt-4o-mini_rep2,3_mid_meeting,gpt-4.1,3,7,7,6,4,6,7,3,2,6
openai_gpt-4o-mini_rep2__3_mid_meeting.png,openai_gpt-4o-mini_rep2,3_mid_meeting,qwen3.6-27b,0,,,,,,,,,
openai_gpt-4o-mini_rep2__4_threshold.png,openai_gpt-4o-mini_rep2,4_threshold,claude-sonnet-5,3,6,7,5,4,4,6,3,3,5
openai_gpt-4o-mini_rep2__4_threshold.png,openai_gpt-4o-mini_rep2,4_threshold,gpt-4.1,3,7,7,6,5,6,7,4,2,6
openai_gpt-4o-mini_rep2__4_threshold.png,openai_gpt-4o-mini_rep2,4_threshold,qwen3.6-27b,1,3.0,5.5,3.0,2.5,3.5,1,2,2,2
openai_gpt-4o-mini_rep2__5_extended.png,openai_gpt-4o-mini_rep2,5_extended,claude-sonnet-5,3,6,7,5,4,4,6,3,3,5
openai_gpt-4o-mini_rep2__5_extended.png,openai_gpt-4o-mini_rep2,5_extended,gpt-4.1,3,7,7,6,5,5,7,4,2,6
openai_gpt-4o-mini_rep2__5_extended.png,openai_gpt-4o-mini_rep2,5_extended,qwen3.6-27b,1,6,6,5,3,5,7,3,2,6
openai_gpt-4o-mini_rep2__6_stopped.png,openai_gpt-4o-mini_rep2,6_stopped,claude-sonnet-5,3,6,7,5,4,4,6,3,3,5
openai_gpt-4o-mini_rep2__6_stopped.png,openai_gpt-4o-mini_rep2,6_stopped,gpt-4.1,3,7,7,6,5,6,7,4,3,6
openai_gpt-4o-mini_rep2__6_stopped.png,openai_gpt-4o-mini_rep2,6_stopped,qwen3.6-27b,2,5.0,5.0,4.5,4.0,3.5,6.0,3.5,2.5,4.0
openai_gpt-5.5_rep1__1_boot_idle.png,openai_gpt-5.5_rep1,1_boot_idle,claude-sonnet-5,3,6,7,6,5,5,6,4,3,6
openai_gpt-5.5_rep1__1_boot_idle.png,openai_gpt-5.5_rep1,1_boot_idle,gpt-4.1,3,6,7,6,5,5,5,5,4,6
openai_gpt-5.5_rep1__1_boot_idle.png,openai_gpt-5.5_rep1,1_boot_idle,qwen3.6-27b,1,2,2,3,4,4,3,3,3,4
openai_gpt-5.5_rep1__2_started.png,openai_gpt-5.5_rep1,2_started,claude-sonnet-5,3,6,7,6,5,4,5,5,5,5
openai_gpt-5.5_rep1__2_started.png,openai_gpt-5.5_rep1,2_started,gpt-4.1,3,6,7,7,5,6,5,5,4,6
openai_gpt-5.5_rep1__2_started.png,openai_gpt-5.5_rep1,2_started,qwen3.6-27b,1,7,6,7,4,6,7,5,3,6
openai_gpt-5.5_rep1__3_mid_meeting.png,openai_gpt-5.5_rep1,3_mid_meeting,claude-sonnet-5,3,6,7,6,5,4,5,5,5,5
openai_gpt-5.5_rep1__3_mid_meeting.png,openai_gpt-5.5_rep1,3_mid_meeting,gpt-4.1,3,7,7,7,5,6,6,5,4,7
openai_gpt-5.5_rep1__3_mid_meeting.png,openai_gpt-5.5_rep1,3_mid_meeting,qwen3.6-27b,0,,,,,,,,,
openai_gpt-5.5_rep1__4_threshold.png,openai_gpt-5.5_rep1,4_threshold,claude-sonnet-5,3,6,7,6,5,4,5,5,5,5
openai_gpt-5.5_rep1__4_threshold.png,openai_gpt-5.5_rep1,4_threshold,gpt-4.1,3,6,7,7,5,6,6,5,4,6
openai_gpt-5.5_rep1__4_threshold.png,openai_gpt-5.5_rep1,4_threshold,qwen3.6-27b,0,,,,,,,,,
openai_gpt-5.5_rep1__5_extended.png,openai_gpt-5.5_rep1,5_extended,claude-sonnet-5,3,6,7,6,5,4,5,5,5,5
openai_gpt-5.5_rep1__5_extended.png,openai_gpt-5.5_rep1,5_extended,gpt-4.1,3,6,7,7,5,6,6,5,4,6
openai_gpt-5.5_rep1__5_extended.png,openai_gpt-5.5_rep1,5_extended,qwen3.6-27b,3,6,7,7,4,6,7,4,3,5
openai_gpt-5.5_rep1__6_stopped.png,openai_gpt-5.5_rep1,6_stopped,claude-sonnet-5,3,5,6,5,4,4,4,4,3,5
openai_gpt-5.5_rep1__6_stopped.png,openai_gpt-5.5_rep1,6_stopped,gpt-4.1,3,6,7,6,5,6,5,6,4,6
openai_gpt-5.5_rep1__6_stopped.png,openai_gpt-5.5_rep1,6_stopped,qwen3.6-27b,0,,,,,,,,,
openai_gpt-5.5_rep2__1_boot_idle.png,openai_gpt-5.5_rep2,1_boot_idle,claude-sonnet-5,3,6,7,6,5,5,6,5,4,6
openai_gpt-5.5_rep2__1_boot_idle.png,openai_gpt-5.5_rep2,1_boot_idle,gpt-4.1,3,6,7,7,5,6,6,5,4,6
openai_gpt-5.5_rep2__1_boot_idle.png,openai_gpt-5.5_rep2,1_boot_idle,qwen3.6-27b,1,7,7,7,2,6,7,4,2,6
openai_gpt-5.5_rep2__2_started.png,openai_gpt-5.5_rep2,2_started,claude-sonnet-5,3,6,7,6,5,4,6,5,4,5
openai_gpt-5.5_rep2__2_started.png,openai_gpt-5.5_rep2,2_started,gpt-4.1,3,6,7,7,5,5,6,4,3,6
openai_gpt-5.5_rep2__2_started.png,openai_gpt-5.5_rep2,2_started,qwen3.6-27b,3,7,7,7,3,5,7,4,3,6
openai_gpt-5.5_rep2__3_mid_meeting.png,openai_gpt-5.5_rep2,3_mid_meeting,claude-sonnet-5,3,6,7,6,5,4,5,5,5,5
openai_gpt-5.5_rep2__3_mid_meeting.png,openai_gpt-5.5_rep2,3_mid_meeting,gpt-4.1,3,7,7,7,6,6,7,5,4,6
openai_gpt-5.5_rep2__3_mid_meeting.png,openai_gpt-5.5_rep2,3_mid_meeting,qwen3.6-27b,1,7,7,6,3,5,6,3,2,5
openai_gpt-5.5_rep2__4_threshold.png,openai_gpt-5.5_rep2,4_threshold,claude-sonnet-5,3,6,7,6,5,4,6,5,4,5
openai_gpt-5.5_rep2__4_threshold.png,openai_gpt-5.5_rep2,4_threshold,gpt-4.1,3,6,7,7,5,6,6,4,3,7
openai_gpt-5.5_rep2__4_threshold.png,openai_gpt-5.5_rep2,4_threshold,qwen3.6-27b,2,6.5,7.0,7.0,3.5,6.0,7.0,5.0,4.0,6.0
openai_gpt-5.5_rep2__5_extended.png,openai_gpt-5.5_rep2,5_extended,claude-sonnet-5,3,6,7,6,5,4,6,5,4,5
openai_gpt-5.5_rep2__5_extended.png,openai_gpt-5.5_rep2,5_extended,gpt-4.1,3,6,7,7,5,6,6,4,3,6
openai_gpt-5.5_rep2__5_extended.png,openai_gpt-5.5_rep2,5_extended,qwen3.6-27b,2,6.5,7.0,6.5,4.0,6.0,6.5,5.0,3.0,5.5
openai_gpt-5.5_rep2__6_stopped.png,openai_gpt-5.5_rep2,6_stopped,claude-sonnet-5,3,6,7,6,5,5,6,5,4,6
openai_gpt-5.5_rep2__6_stopped.png,openai_gpt-5.5_rep2,6_stopped,gpt-4.1,3,7,7,7,6,5,6,5,4,6
openai_gpt-5.5_rep2__6_stopped.png,openai_gpt-5.5_rep2,6_stopped,qwen3.6-27b,3,6,7,7,3,6,7,4,3,6
